Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2015,John A. Paulson,New York,Finance,"Harvard U. (Cambridge, Mass.)",Massachusetts,Colleges and universities,Unrestricted,400000000
2015,Stefan Edlis and Gael Neeson,Illinois,Manufacturing,Art Institute of Chicago,Illinois,Arts,NoncashGift,400000000
2015,William H. Scheide,New Jersey,Family wealth,Princeton U. (N.J.),New Jersey,Colleges and universities,NoncashGift,300000000
2015,David H. Koch,New York,Oil,Memorial Sloan-Kettering Cancer Center (New York),New York,Health,Pledge,150000000
2015,Stephen A. Schwarzman,New York,Investments,"Yale U. (New Haven, Conn.)",Connecticut,Colleges and universities,,150000000
2015,Donald Sirkin,Washington,Construction,Lighthouse for the Blind and Visually Impaired (San Francisco),California,Human and social services,Bequest,125000000
2015,Gordon and Betty Moore,California,Technology,California Institute of Technology (Pasadena),California,Colleges and universities,PledgeUnrestricted,100000000
2015,Conrad T. Prebys,California,Construction,"Sanford-Burnham Medical Research Institute (La Jolla, Calif.)",California,Health,,100000000
2015,Henry R. and Marie-Josée Kravis,New York,Finance,Rockefeller U. (New York),New York,Colleges and universities,,100000000
2015,Marion Anderson,California,,"U. of California at Los Angeles, Anderson School of Management",California,Colleges and universities,,100000000
2015,Rady Family Foundation (Ernest and Evelyn Rady),California,Real estate,"U. of California at San Diego, Rady School of Management",California,Colleges and universities,,100000000
2015,David Geffen,California,Entertainment,Lincoln Center for the Performing Arts (New York),New York,Arts,Gift,100000000
2015,Roberta Buffett Elliott,,"Family wealth, Investments","Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Gift,100000000
2015,Louis A. Simpson and Kimberly K. Querrey,Florida,Insurance,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Gift,92000000
2015,Mark Zuckerberg and Priscilla Chan,California,Technology,San Francisco General Hospital Foundation,California,Health,Gift,75000000
2015,Fayez S. Sarofim,Texas,"Family wealth, Finance","Museum of Fine Arts, Houston",Texas,Arts,Gift,70000000
2015,Thompson Family Foundation (Wade F.B. Thompson),Ohio,Manufacturing,Park Avenue Armory (New York),New York,Historic preservation,Bequest,65000000
2015,Zell Family Foundation (Sam and Helen Zell),Illinois,"Finance, Hotels, Media and entertainment, Real estate",U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Pledge,60000000
2015,John and Rosemary Brown,Michigan,Health products,Auburn U. (Ala.),Alabama,Colleges and universities,,57000000
2015,Miller family,Florida,Construction,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,,55000000
2015,Nancy and Ab Nicholas,Wisconsin,Finance,U. of Wisconsin Foundation (Madison),Wisconsin,Colleges and universities,Pledge,50000000
2015,Peter and Nancy Meinig,Oklahoma,"Finance, Investments","Cornell U. (Ithaca, N.Y.)",New York,Colleges and universities,,50000000
2015,Anonymous,,,U. of California at San Francisco,California,Colleges and universities,,50000000
2015,Dwight C. and Martha Schar,Florida,"Construction, Finance","Inova Health System (Falls Church, Va.)",Virginia,Health,,50000000
2015,Benificus Foundation (John and Ann Doerr),California,Investments,Rice U. (Houston),Texas,Colleges and universities,,50000000
2015,Mark and Mary Stevens,California,Investments,U. of Southern California (Los Angeles),California,Colleges and universities,,50000000
2015,William Louis-Dreyfus,New York,"Energy, Family wealth",Harlem Children's Zone (New York),New York,Children and youths,Pledge,50000000
2015,Ronald and Maxine Linde,Illinois,Manufacturing,California Institute of Technology (Pasadena),California,Colleges and universities,GiftUnrestricted,50000000
2015,Raymond G. Perelman,Pennsylvania,"Finance, Investments",Children's Hospital of Philadelphia,Pennsylvania,Health,Gift,50000000
2015,Richard and Nancy Kinder,Texas,Energy,"Museum of Fine Arts, Houston",Texas,Arts,Gift,50000000
2015,Allen and Kelli Questrom,Texas,Retail,Boston U. School of Management,Massachusetts,Colleges and universities,Pledge,40000000
2015,Ruth Bedford,Connecticut,Family wealth,Westport Weston Family YMCA (Conn.),Connecticut,Social services,Bequest,40000000
2015,Ruth Bedford,Connecticut,Family wealth,Norwalk Hospital (Conn.),Connecticut,Health,Bequest,40000000
2015,Anonymous,,,Louisiana State U. (Baton Rouge),Louisiana,Colleges and universities,Pledge,40000000
2015,Ron and Gayle Conway,California,"Finance, Technology",U. of California at San Francisco,California,Colleges and universities,Gift,40000000
2015,Richard Corbett,Florida,"Finance, Real estate",U. of Notre Dame (Ind.),Indiana,Colleges and universities,,35000000
2015,Anonymous,,,San Francisco Foundation,California,Community foundations,,34000000
2015,John Luth and Joanne Chouinard-Luth,New York,Transportation,"College of the Holy Cross (Worcester, Mass.)",Massachusetts,Colleges and universities,,32500000
2015,Jack C. Taylor,Missouri,Retail,Forest Park Forever (St. Louis),Missouri,Other groups,,30000000
2015,Anonymous,,,Seattle U.,Washington,Colleges and universities,Pledge,30000000
2015,Stephenson Family Foundation (Charles Stephenson and Peggy Stephenson and Jim Gallogly and Janet Gallogly),Oklahoma,"Energy, Oil",U. of Oklahoma (Norman),Oklahoma,Colleges and universities,Pledge,30000000
2015,Weslie and William Janeway,New York,Finance,U. of Cambridge (United Kingdom),,Colleges and universities,Pledge,27000000
2015,Golisano Foundation (B. Thomas Golisano),New York,Investments,Special Olympics (Washington),District of Columbia,Sports and recreation,Pledge,25000000
2015,Paolo and Marlene Fresco Foundation (Paolo and Marlene Fresco),,"Transportation, Engineering",New York U. Langone Medical Center,New York,Colleges and universities,,25000000
2015,Lyda Hill,Texas,"Family wealth, Investments",U. of Texas Southwestern Medical Center (Dallas),Texas,Colleges and universities,,25000000
2015,Rick and Tina Caruso,California,Real estate,U. of Southern California (Los Angeles),California,Colleges and universities,,25000000
2015,Jeff and Karen Miller,California,Finance,Santa Clara U. (Calif.),California,Colleges and universities,Pledge,25000000
2015,Lisbet Rausing and Peter Baldwin,,Family wealth,"Yale U. (New Haven, Conn.)",Connecticut,Colleges and universities,,25000000
2015,Albert Higley Jr. and Beverly Higley,Ohio,Construction,Cleveland Foundation,Ohio,Foundations,Bequest,23000000
2015,Henry M. and Eleanor Rowan,New Jersey,Manufacturing,"Doane Academy (Burlington, N.J.)",New Jersey,Education,Gift,22000000
2015,James R. and Susan Shallcross Swartz,Utah,"Investments, Technology",Carnegie Mellon U. (Pittsburgh),Pennsylvania,Colleges and universities,,21000000
2015,Robert E. and Dorothy J. King,California,Finance,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,,21000000
2015,Robert Thomson,Pennsylvania,Insurance,Pittsburgh Theological Seminary,Pennsylvania,Religious groups,BequestUnrestricted,20250000
2015,Steve and Connie Ballmer,Washington,Technology,U. of Washington (Seattle),Washington,Colleges and universities,,20000000
2015,Gehr Family Foundation (Norbert Gehr),California,"Investments, Manufacturing","U. of Southern California, Keck School of Medicine (Los Angeles)",California,Colleges and universities,,20000000
2015,Anonymous,,,Montclair State U. (N.J.),New Jersey,Colleges and universities,,20000000
2015,Dorothy Byrne,New Hampshire,Insurance,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Pledge,20000000
2015,Gottesman Fund (Alfred H. Moses and Milton Gottesman),District of Columbia,"Finance, Government, Law",Jewish Primary Day School of the Nation's Capital (Washington),District of Columbia,Education,,20000000
2015,Rubens Family Foundation (Gary and Jennifer Rubens),Washington,Investments,Washington State Opportunity Scholarship (Issaquah),Washington,Education,MatchingPledge,20000000
2015,Green Family Foundation (Steven Green and Dorothea Green and Kimberly Green),Florida,"Finance, Government",Florida International U. Foundation (North Miami),Florida,Colleges and universities,,20000000
2015,Simon B. and Sylvia Poyta,New York,Health care,WNET.org (New York),New York,Other groups,Bequest,20000000
2015,Donald T. Bollinger,Louisiana,Construction,National World War II Museum (New Orleans),Louisiana,Museums and libraries,Gift,20000000
2015,Lowell Baier,Maryland,"Law, Real estate",Indiana U. Maurer School of Law (Bloomington),Indiana,Colleges and universities,Pledge,20000000
2015,Rogers Foundation (Beverly Rogers),Nevada,Media and entertainment,"U. of Nevada at Las Vegas, Black Mountain Institute",Nevada,Colleges and universities,Pledge,20000000
2015,Scott Mueller,Ohio,Retail,Cleveland Museum of Art,Ohio,Arts,GiftChallenge,20000000
2015,Ray Irani,California,Engineering,U. of Southern California (Los Angeles),California,Colleges and universities,Gift,20000000
2015,Eric Trump,New York,"Family wealth, Real estate",St. Jude Children's Research Hospital (Memphis),Tennessee,Health,Gift,20000000
2015,Louise Oriole Burevitch,North Carolina,Family wealth,North Carolina Community Foundation (Raleigh),North Carolina,Community foundations,Bequest,20000000
2015,Anonymous,,,"Centre College (Danville, Ky.)",Kentucky,Colleges and universities,GiftMatching,20000000
2015,Stephen and Karen Sanger,Minnesota,Food and beverage,U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Gift,20000000
2015,Alan and Daveen Fox,Texas,Entertainment,U. of Arizona (Tucson),Arizona,Colleges and universities,Gift,20000000
2015,John and Nancy Lindahl,Minnesota,Finance,U. of Minnesota (Minneapolis),Minnesota,Colleges and universities,Pledge,17000000
2015,William Boeing Jr. and June Boeing,Washington,"Family wealth, Transportation",Museum of Flight (Seattle),Washington,Museums and libraries,Bequest,15000000
2015,Donald Graham,,,"TheDream.US (Arlington, Va.)",Virginia,Education,Pledge,15000000
2015,Archie W. and Linda Dunham,Texas,Energy,Houston Baptist U.,Texas,Colleges and universities,,15000000
2015,Stephen Boesel,Florida,Finance,"Baldwin Wallace University, School of Business (Berea, Ohio)",Ohio,Colleges and universities,Pledge,15000000
2015,Isabel Hamilton Benham,New York,Finance,Bryn Mawr College (Pa.),Pennsylvania,Colleges and universities,Bequest,15000000
2015,James F. and Anne Rothenberg,California,"Finance, Investments",California Institute of Technology (Pasadena),California,Colleges and universities,Pledge,15000000
2015,Oscar L. Tang,New York,"Finance, Investments",Metropolitan Museum of Art (New York),New York,Arts,Pledge,15000000
2015,Anonymous,,,U. of Southern California (Los Angeles),California,Colleges and universities,,15000000
2015,Felda and Dena Hardymon,Massachusetts,Finance,"Clark Art Institute (Williamstown, Mass.)",Massachusetts,Arts,Gift,15000000
2015,Barbara Walters,New York,Media and entertainment,"Sarah Lawrence College (Bronxville, N.Y.)",New York,Colleges and universities,Gift,15000000
2015,Edward Claugus,Nevada,"Finance, Investments",Ohio State U. (Columbus),Ohio,Colleges and universities,Bequest,14000000
2015,Paul J. and Jan Varello,Texas,Construction,Villanova U. College of Engineering (Pa.),Pennsylvania,Colleges and universities,Pledge,13500000
2015,Bobbie Nau and John L. Nau III,Texas,Food and beverage,U. of Virginia (Charlottesville),Virginia,Colleges and universities,,13000000
2015,Coralyn Wright Whitney,,Education,"Smithsonian Institution, National Museum of Natural History (Washington)",District of Columbia,Museums and libraries,,13000000
2015,Dick E. Morand,Michigan,Engineering,Planned Giving Roundtable of Southeast Michigan (Dryden),Michigan,Foundations,Bequest,13000000
2015,Helen Wallace,California,Health care,U. of California at Berkeley,California,Colleges and universities,Bequest,13000000
2015,Max Baumgardner,,Investments,U. of Louisville (Ky.),Kentucky,Colleges and universities,Gift,12600000
2015,Albert Lepage Foundation (Albert Lepage),,Food and beverage,Tulane U. Freeman School of Business (New Orleans),Louisiana,Colleges and universities,,12500000
2015,Mary Griggs Burke,New York,Family wealth,Minneapolis Institute of Arts,Minnesota,Arts,Bequest,12500000
2015,Mary and Jackson Burke Foundation (Mary Griggs Burke),New York,Family wealth,Metropolitan Museum of Art (New York),New York,Arts,Bequest,12500000
2015,Anonymous,,,Seattle U.,Washington,Colleges and universities,Pledge,12000000
2015,Marion and Henry Bloch Family Foundation (Henry W. and Marion Bloch),Missouri,Finance,"Nelson-Atkins Museum of Art (Kansas City, Mo.)",Missouri,Arts,,11700000
2015,Stuart and Jan Bartleson,California,Construction,California Polytechnic State U. at San Luis Obispo,California,Colleges and universities,Noncash,11300000
2015,George and Liz Krupp,Massachusetts,Real estate,Combined Jewish Philanthropies (Boston),Massachusetts,Education,ChallengeGift,11250000
2015,Feigenbaum Foundation (Armand V. and Donald S. Feigenbaum),Massachusetts,Engineering,"Union College (Schenectady, N.Y.)",New York,Colleges and universities,Bequest,11000000
2015,Jerry and Gene Jones,Texas,Professional Sports,U. of Arkansas at Fayetteville,Arkansas,Colleges and universities,GiftNoncash,10650000
2015,Muneer Satter and Kristen Hertel,Illinois,Finance,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,,10500000
2015,Henry Bullock,California,Real estate,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Pledge,10500000
2015,Chad Richison,Oklahoma,Technology,U. of Central Oklahoma Foundation (Edmond),Oklahoma,Colleges and universities,,10000000
2015,Jacqueline Badger Mars,Virginia,"Family wealth, Food and beverage",John F. Kennedy Center for the Performing Arts (Washington),District of Columbia,Arts,,10000000
2015,Stephen A. and Christine Hearst Schwarzman,New York,Investments,John F. Kennedy Center for the Performing Arts (Washington),District of Columbia,Arts,,10000000
2015,John R. and Jeanette McWhirter,Pennsylvania,"Chemicals, Real estate",Pennsylvania State U. (University Park),Pennsylvania,,,10000000
2015,Sheldon B. and Marianne Lubar,Wisconsin,Investments,U. of Wisconsin at Milwaukee,Wisconsin,Colleges and universities,,10000000
2015,Diana Davis Spencer Foundation (Diana Davis Spencer),Maryland,,"The Masters School (Dobbs Ferry, N.Y.)",New York,Education,,10000000
2015,Anonymous,,,"Baylor U. (Waco, Tex.)",Texas,Colleges and universities,,10000000
2015,Daniel W. Dietrich II,Pennsylvania,Family wealth,"U. of Pennsylvania, Institute of Contemporary Art (Philadelphia)",Pennsylvania,Colleges and universities,,10000000
2015,"Jack, Joseph, and Morton Mandel Foundation (Morton and Joseph Mandel)",Ohio,Industry,Cuyahoga Community College Foundation (Cleveland),Ohio,Colleges and universities,,10000000
2015,Majerus Family Foundation (Majerus (Rick) family),,Education,Marquette U. (Milwaukee),Wisconsin,Colleges and universities,,10000000
2015,R. Milton and Denice Johnson,Tennessee,Health care,Belmont U. (Nashville),Tennessee,Colleges and universities,,10000000
2015,Anonymous,,,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Gift,10000000
2015,Richard (Dick) Levy,California,Health products,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Pledge,10000000
2015,Harold and Nancy Zirkin,District of Columbia,Finance,MedStar Health (Washington),District of Columbia,Health,,10000000
2015,Stan and Joan Ross,Ohio,Law,Ohio State U. (Columbus),Ohio,Colleges and universities,Pledge,10000000
2015,Jeffrey and Shari Aronson,New York,"Finance, Investments",Johns Hopkins U. (Baltimore),Maryland,Colleges and universities,Pledge,10000000
2015,Forrest E. Mars Jr.,Wyoming,Food and beverage,Colonial Williamsburg Foundation (Va.),Virginia,Historic preservation,,10000000
2015,Horning Family Fund (Joseph and Lynne Horning),District of Columbia,Real estate,Martha's Table (Washington),District of Columbia,Social services,Pledge,10000000
2015,Dennis J. and Constance Templeton Keller,Illinois,Education,Field Museum (Chicago),Illinois,Museums and libraries,,10000000
2015,Bill and Linda Gantz,Illinois,Pharmaceuticals,Field Museum (Chicago),Illinois,Museums and libraries,,10000000
2015,Lisa Yang,,"Finance, Investments","Cornell U. School of Industrial and Labor Relations (Ithaca, N.Y.)",New York,Colleges and universities,,10000000
2015,David M. Rubenstein,Maryland,Finance,"Thomas Jefferson Foundation (Charlottesville, Va.)",Virginia,Historic preservation,,10000000
2015,Lindner family,Ohio,"Finance, Food and beverage, Investments",Cincinnati Symphony and Pops Orchestra,Ohio,Arts,,10000000
2015,Anonymous,,,Princeton U. (N.J.),New Jersey,Colleges and universities,,10000000
2015,Jeanne and Rex Sinquefield,Missouri,Finance,U. of Missouri at Columbia,Missouri,Colleges and universities,,10000000
2015,Steve G. Stevanovich,,Finance,U. of Chicago,Illinois,Colleges and universities,,10000000
2015,Emmet Stephenson and Toni Stephenson and Tessa Stephenson Brand,Nevada,"Investments, Technology","U. of Southern California, Keck School of Medicine (Los Angeles)",California,Colleges and universities,Pledge,10000000
2015,Leonard Lauder,New York,"Industry, Manufacturing",Hunter College (New York),New York,Colleges and universities,,10000000
2015,Jordan Zimmerman,Florida,Advertising,U. of South Florida (Tampa),Florida,Colleges and universities,Gift,10000000
2015,Ronald and JoAnne Willens,California,Technology,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Gift,10000000
2015,Steve E. Tisch,California,"Media and entertainment, Professional Sports",Tel Aviv U. (Israel),,Colleges and universities,Gift,10000000
2015,Harold and Sarah Gottlieb,Michigan,Hotels,"Temple Israel (West Bloomfield, Mich.)",Michigan,Religious groups,Gift,10000000
2015,James Berbee and Karen Walsh,Wisconsin,Health care,U. of Wisconsin Hospital (Madison),Wisconsin,Health,GiftChallenge,10000000
2015,Louis A. Simpson,Florida,Insurance,Princeton U. (N.J.),New Jersey,Colleges and universities,Gift,10000000
2015,Kenneth C. Griffin,Illinois,Finance,Museum of Contemporary Art Chicago,Illinois,Arts,Gift,10000000
2015,Lynn Pippenger,Florida,Finance,U. of South Florida (Tampa),Florida,Colleges and universities,Gift,10000000
2015,Anonymous,,,Haverford College (Pa.),Pennsylvania,Colleges and universities,Gift,10000000
2015,Jim and Carol Collins,California,Food and beverage,U. of California at Los Angeles,California,Colleges and universities,Gift,10000000
